run,architecture,variant,checkpoint,epoch,selection_metric,saved_best_metric,run_summary_best_val_total,run_summary_best_val_field_mse,run_summary_best_val_temperature_mse,run_summary_best_val_predicted_total,selected_for_headline,overlapping_test_validation_caveat
Run1404,legacy_honf (default config),best_total,Trained_Results/ThermalChannel/HONF_Forward_Runs/Run_1404_20260916_092508_routing_only_pairwise/best_model.pt,2209,validation_total_loss,0.01719799218699336,0.01719799218699336,0.0018712749588303268,0.0022883208584971726,0.01719799218699336,False,90-case test evaluation is treated as an established held-out/development comparison set; it overlaps the validation/development split used in project checkpoint selection and is not an independent final test.
Run1404,legacy_honf (default config),best_field,Trained_Results/ThermalChannel/HONF_Forward_Runs/Run_1404_20260916_092508_routing_only_pairwise/best_by_field_mse_model.pt,4890,validation_field_mse,0.0018712749588303268,0.01719799218699336,0.0018712749588303268,0.0022883208584971726,0.01719799218699336,True,90-case test evaluation is treated as an established held-out/development comparison set; it overlaps the validation/development split used in project checkpoint selection and is not an independent final test.
Run1404,legacy_honf (default config),best_temperature,Trained_Results/ThermalChannel/HONF_Forward_Runs/Run_1404_20260916_092508_routing_only_pairwise/best_by_temperature_mse_model.pt,4767,validation_temperature_mse,0.0022883208584971726,0.01719799218699336,0.0018712749588303268,0.0022883208584971726,0.01719799218699336,False,90-case test evaluation is treated as an established held-out/development comparison set; it overlaps the validation/development split used in project checkpoint selection and is not an independent final test.
Run1404,legacy_honf (default config),best_predicted,Trained_Results/ThermalChannel/HONF_Forward_Runs/Run_1404_20260916_092508_routing_only_pairwise/best_predicted_model.pt,2209,validation_predicted_total_loss,0.01719799218699336,0.01719799218699336,0.0018712749588303268,0.0022883208584971726,0.01719799218699336,False,90-case test evaluation is treated as an established held-out/development comparison set; it overlaps the validation/development split used in project checkpoint selection and is not an independent final test.
Run1804,dense_pairwise_field,best_total,Trained_Results/ThermalChannel/HONF_Forward_Runs/Run_1804_20260905_081349_dense_pairwise_field_adaptation/best_model.pt,4740,validation_total_loss,0.009866213891655207,0.009866213891655207,0.0015210174024105072,0.001405343267833814,0.009866213891655207,False,90-case test evaluation is treated as an established held-out/development comparison set; it overlaps the validation/development split used in project checkpoint selection and is not an independent final test.
Run1804,dense_pairwise_field,best_field,Trained_Results/ThermalChannel/HONF_Forward_Runs/Run_1804_20260905_081349_dense_pairwise_field_adaptation/best_by_field_mse_model.pt,4738,validation_field_mse,0.0015210174024105072,0.009866213891655207,0.0015210174024105072,0.001405343267833814,0.009866213891655207,True,90-case test evaluation is treated as an established held-out/development comparison set; it overlaps the validation/development split used in project checkpoint selection and is not an independent final test.
Run1804,dense_pairwise_field,best_temperature,Trained_Results/ThermalChannel/HONF_Forward_Runs/Run_1804_20260905_081349_dense_pairwise_field_adaptation/best_by_temperature_mse_model.pt,4871,validation_temperature_mse,0.001405343267833814,0.009866213891655207,0.0015210174024105072,0.001405343267833814,0.009866213891655207,False,90-case test evaluation is treated as an established held-out/development comparison set; it overlaps the validation/development split used in project checkpoint selection and is not an independent final test.
Run1804,dense_pairwise_field,best_predicted,Trained_Results/ThermalChannel/HONF_Forward_Runs/Run_1804_20260905_081349_dense_pairwise_field_adaptation/best_predicted_model.pt,4740,validation_predicted_total_loss,0.009866213891655207,0.009866213891655207,0.0015210174024105072,0.001405343267833814,0.009866213891655207,False,90-case test evaluation is treated as an established held-out/development comparison set; it overlaps the validation/development split used in project checkpoint selection and is not an independent final test.
Run1501,sparse_incidence_group_control_honf,best_total,Trained_Results/ThermalChannel/HONF_Forward_Runs/Run_1501_20260922_211056_sparse_incidence_adaptive_honf/best_model.pt,4877,validation_total_loss,0.011583423474803567,0.011583423474803567,0.0022935055021662265,0.0017788839468266815,0.011583423474803567,False,90-case test evaluation is treated as an established held-out/development comparison set; it overlaps the validation/development split used in project checkpoint selection and is not an independent final test.
Run1501,sparse_incidence_group_control_honf,best_field,Trained_Results/ThermalChannel/HONF_Forward_Runs/Run_1501_20260922_211056_sparse_incidence_adaptive_honf/best_by_field_mse_model.pt,4689,validation_field_mse,0.0022935055021662265,0.011583423474803567,0.0022935055021662265,0.0017788839468266815,0.011583423474803567,True,90-case test evaluation is treated as an established held-out/development comparison set; it overlaps the validation/development split used in project checkpoint selection and is not an independent final test.
Run1501,sparse_incidence_group_control_honf,best_temperature,Trained_Results/ThermalChannel/HONF_Forward_Runs/Run_1501_20260922_211056_sparse_incidence_adaptive_honf/best_by_temperature_mse_model.pt,4890,validation_temperature_mse,0.0017788839468266815,0.011583423474803567,0.0022935055021662265,0.0017788839468266815,0.011583423474803567,False,90-case test evaluation is treated as an established held-out/development comparison set; it overlaps the validation/development split used in project checkpoint selection and is not an independent final test.
Run1501,sparse_incidence_group_control_honf,best_predicted,Trained_Results/ThermalChannel/HONF_Forward_Runs/Run_1501_20260922_211056_sparse_incidence_adaptive_honf/best_predicted_model.pt,4877,validation_predicted_total_loss,0.011583423474803567,0.011583423474803567,0.0022935055021662265,0.0017788839468266815,0.011583423474803567,False,90-case test evaluation is treated as an established held-out/development comparison set; it overlaps the validation/development split used in project checkpoint selection and is not an independent final test.
Run1502,sparse_incidence_group_control_honf,best_total,Trained_Results/ThermalChannel/HONF_Forward_Runs/Run_1502_20260923_004751_sparse_incidence_environment_sparsemax/best_model.pt,4794,validation_total_loss,0.010496790753677487,0.010496790753677487,0.0018399362452328205,0.0018037583504337817,0.010496790753677487,False,90-case test evaluation is treated as an established held-out/development comparison set; it overlaps the validation/development split used in project checkpoint selection and is not an independent final test.
Run1502,sparse_incidence_group_control_honf,best_field,Trained_Results/ThermalChannel/HONF_Forward_Runs/Run_1502_20260923_004751_sparse_incidence_environment_sparsemax/best_by_field_mse_model.pt,4794,validation_field_mse,0.0018399362452328205,0.010496790753677487,0.0018399362452328205,0.0018037583504337817,0.010496790753677487,True,90-case test evaluation is treated as an established held-out/development comparison set; it overlaps the validation/development split used in project checkpoint selection and is not an independent final test.
Run1502,sparse_incidence_group_control_honf,best_temperature,Trained_Results/ThermalChannel/HONF_Forward_Runs/Run_1502_20260923_004751_sparse_incidence_environment_sparsemax/best_by_temperature_mse_model.pt,4799,validation_temperature_mse,0.0018037583504337817,0.010496790753677487,0.0018399362452328205,0.0018037583504337817,0.010496790753677487,False,90-case test evaluation is treated as an established held-out/development comparison set; it overlaps the validation/development split used in project checkpoint selection and is not an independent final test.
Run1502,sparse_incidence_group_control_honf,best_predicted,Trained_Results/ThermalChannel/HONF_Forward_Runs/Run_1502_20260923_004751_sparse_incidence_environment_sparsemax/best_predicted_model.pt,4794,validation_predicted_total_loss,0.010496790753677487,0.010496790753677487,0.0018399362452328205,0.0018037583504337817,0.010496790753677487,False,90-case test evaluation is treated as an established held-out/development comparison set; it overlaps the validation/development split used in project checkpoint selection and is not an independent final test.
